"Name -- 2016v1_5","Diff Name -- 2016v1_4","Sequence Number -- 2016v1_5","Sequence Number -- 2016v1_4","Label -- 2016v1_5","Diff Label -- 2016v1_4","Type -- 2016v1_5","Diff Type -- 2016v1_4","Choice Name -- 2016v1_5","Diff Choice Name -- 2016v1_4","Choice Labels -- 2016v1_5","Diff Choice Labels -- 2016v1_4"
"id10274_c","[no match found]","346","","Enter how long after birth  the baby stopped suckling in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10274",,"347","270","How many days after birth did the baby stop suckling?",,"calculate","INTEGER",,,,
"id10275",,"348","271","Did the baby have convulsions starting within the first 24 hours of life?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10276",,"349","272","Did the baby have convulsions starting more than 24 hours after birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10277",,"350","273","Did the baby's body become stiff, with the back arched backwards?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10278",,"351","274","During the illness that led to death, did the baby have a bulging or raised fontanelle?","during the illness that led to death, did the baby have a bulging or raised fontanelle? (ASK ONLY UP to 18 MONTHS)","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10279",,"352","275","During the illness that led to death, did the baby have a sunken fontanelle?","during the illness that led to death, did the baby have a sunken fontanelle? (ASK ONLY UP to 18 MONTHS)","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10281",,"353","276","During the illness that led to death, did the baby become unresponsive or unconscious?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10282",,"354","277","Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10283",,"355","278","Did the baby become unresponsive or unconscious more than 24 hours after birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"neonatal_childc",,"356","279","Neonatal child questions part C",,"begin group",,,,,
"id10284",,"357","280","During the illness that led to death, did the baby become cold to touch?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10285",,"358","281","How many days old was the baby when it started feeling cold to touch?",,"integer",,,,,
"id10286",,"359","282","During the illness that led to death, did the baby become lethargic after a period of normal activity?","during the illness that led to death, did the baby become LETHARGIC, after a period of normal activity?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10287",,"360","283","Did the baby have redness or pus drainage from the umbilical cord stump?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10288",,"361","284","During the illness that led to death, did the baby have skin ulcer(s) or pits?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10289",,"362","285","During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10290",,"363","286","Did the baby or infant appear to be healthy and then just die suddenly?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"pregnancy_women",,"364","287","Signs and symptoms associated with pregnancy and women",,"begin group",,,,,
"id10294",,"365","288","Did she have any swelling or lump in the breast?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10295",,"366","289","Did she have any ulcers (pits) in the breast?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10296",,"367","290","Did she ever have a period or menstruate?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10297",,"368","291","When she had her period, did she have vaginal bleeding in between menstrual periods?","DID she have  vaginal bleeding in between menstrual periods?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10298",,"369","292","Was the bleeding excessive?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10301",,"370","295","Was there excessive vaginal bleeding in the week prior to death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10299",,"371","293","Did her menstrual period stop naturally because of menopause or removal of uterus?","did her menstrual period stop naturally because of MENOPAUSE?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10302",,"372","296","At the time of death was her period overdue?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10303",,"373","297","For how many weeks had her period been overdue?",,"integer",,,,,
"id10300",,"374","294","Did she have vaginal bleeding after cessation of menstruation?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10304",,"375","298","Did she have a sharp pain in her belly (abdomen) shortly before death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10305",,"376","299","Was she pregnant at the time of death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10306",,"377","300","Did she die within 6 weeks of delivery, abortion or miscarriage?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10307",,"378","301","Did this woman die more than 6 weeks after being pregnant or delivering a baby?","did this woman die more than 42 DAYS after being pregnant or delivering a baby?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10308",,"379","302","Was this a woman who died less than 1 year after being pregnant or delivering a baby?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10309",,"380","303","For how many months was she pregnant?",,"integer",,,,,
"id10310",,"381","304","Please confirm, when she died, she was NEITHER pregnant NOR had delivered, had an abortion, or miscarried within 12 months of when she died--is that right?","please CONFIRM: WHEN she died, she was neither pregnant nor had RECENTLY BEEN pregnant nor had RECENTLY DELIVERED when she DIED - IS that right?","select_one YES_NO_DK_REF2","select_one YES_NO_DK_REF","yes_no_dk_ref2","SELECT_ONE YES_no_dk_REF"," yes (she was not pregnant; and she did not recently deliver, have abortion, or miscarry); no (she was pregnant or she recently delivered, had an abortion or miscarried); doesn't know; refused to answer","[empty cell]"
"id10310_check","[no match found]","382","","If the response is NO, DON’T KNOW, OR REFUSED, it indicates some uncertainty as to whether the cause of death could have been a maternal or pregnancy-related cause. Go back to the question 'Did she ever have a period or menstruate?' and follow the process again. If it is confirmed that the death was related to pregnancy, proceed with the next question “Did she die during labour or delivery?”","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"group_maternal",,"383","305","Questions about possible maternal deaths",,"begin group",,,,,
"id10312",,"384","306","Did she die during labour or delivery?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10313",,"385","307","Did she die after delivering a baby?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10314",,"386","308","Did she die within 24 hours after delivery?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10315_a","[no match found]","387","","Did she die within 6 weeks of childbirth?","[no match found]","select_one YES_NO_DK_REF","[no match found]","yes_no_dk_ref","[no match found]","yes; no; doesn't know; refused to answer","[no match found]"
"id10315",,"388","309","Did she die within 6 weeks of childbirth?",,"calculate","SELECT_ONE YES_NO_DK_REF",,,,
"id10316",,"389","310","Did she give birth to a live baby (within 6 weeks of her death)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10317",,"390","311","Did she die during or after a multiple pregnancy?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10318",,"391","312","Was she breastfeeding the child in the days before death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10319",,"392","313","How many births, including stillbirths, did she/the mother have before this baby?",,"integer",,,,,
"id10320",,"393","314","Had she had any previous Caesarean section?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10321",,"394","315","During pregnancy, did she suffer from high blood pressure?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10322",,"395","316","Did she have foul smelling vaginal discharge during pregnancy or after delivery?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10323",,"396","317","During the last 3 months of pregnancy, did she suffer from convulsions?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10324",,"397","318","During the last 3 months of pregnancy did she suffer from blurred vision?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10325",,"398","319","Did bleeding occur while she was pregnant?","did bleeding occur while she was PREGNANT","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10326",,"399","320","Was there vaginal bleeding during the first 6 months of pregnancy?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10327",,"400","321","Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10328",,"401","322","Did she have excessive bleeding during labour or delivery?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10329",,"402","323","Did she have excessive bleeding after delivery or abortion?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10330",,"403","324","Was the placenta completely delivered?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10331",,"404","325","Did she deliver or try to deliver an abnormally positioned baby?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10332",,"405","326","For how many hours was she in labour?",,"integer",,,,,
"id10333",,"406","327","Did she attempt to terminate the pregnancy?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10334",,"407","328","Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10335",,"408","329","Did she die during an abortion?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10336",,"409","330","Did she die within 6 weeks of having an abortion?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10337",,"410","331","Where did she give birth?",,"select_one select_208",,"select_208","select_ONE SELECT_208","hospital; other health facility; home; on route to hospital or facility; other; doesn't know; refused to answer","[empty cell]"
"id10338",,"411","332","Did she receive professional assistance during the delivery?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10339",,"412","333","Who delivered the baby?",,"select_one select_530",,"select_530","select_ONE SELECT_530","doctor; midwife; nurse; relative; self (the mother); traditional birth attendant; other; doesn’t know; refused to answer","[empty cell]"
"id10340",,"413","334","Did she have an operation to remove her uterus shortly before death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"deliverytype",,"414","335","How did the mother deliver her baby?",,"begin group",,,,,
"id10342",,"415","336","Was the delivery normal vaginal, without forceps or vacuum?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10343",,"416","337","Was the delivery vaginal, with forceps or vacuum?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10344",,"417","338","Was the delivery a Caesarean section?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10347",,"418","339","Was the baby born more than one month early?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"neonatal_child",,"419","340","Neonatal and child history, signs and symptoms",,"begin group",,,,,
"id10352_units","[no match found]","420","","How old was the child when the fatal illness started?","[no match found]","select_one units_4","[no match found]","units_4","[no match found]","months; years; doesn't know; refused to answer","[no match found]"
"id10352_a","[no match found]","421","","Enter how old the child was  when the fatal illness started in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10352_b","[no match found]","422","","Enter how old the child was  when the fatal illness started in years:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10352",,"423","341","How many years old was the child when the fatal illness started?",,"calculate","INTEGER",,,,
"neonatal_childa",,"424","342","Neonatal child questions part A",,"begin group",,,,,
"id10354",,"425","343","Was the child part of a multiple  birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10355",,"426","344","Was the child the first, second, or later in the birth order?",,"select_one select_219",,"select_219","select_ONE SELECT_219","first; second or later; doesn't know; refused to answer","[empty cell]"
"id10356",,"427","345","Is the mother still alive?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10357",,"428","346","Did the mother die before, during or after the delivery?","did the mother die during or after the delivery?","select_one select_221",,"select_221","select_ONE SELECT_221","before delivery; during delivery; after delivery; doesn't know; refused to answer","[empty cell]"
"moth_death",,"429","347","Time between delivery and death of mother",,"begin group",,,,,
"id10358_units","[no match found]","430","","How long after the delivery did the mother die?","[no match found]","select_one units_5","[no match found]","units_5","[no match found]","days; weeks; months; doesn't know; refused to answer","[no match found]"
"id10358",,"431","348","How many months after the delivery did the mother die?",,"integer",,,,,
"id10359",,"432","349","How many days after the delivery did the mother die?",,"integer",,,,,
"id10359_a","[no match found]","433","","How many weeks after the delivery did the mother die?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10360",,"434","350","Where was the deceased born?",,"select_one select_223",,"select_223","select_ONE SELECT_223","hospital; other health facility; home; on route to hospital or facility; other; doesn't know; refused to answer","[empty cell]"
"id10361",,"435","351","Did you/the mother receive professional assistance during the delivery?","did the mother receive professional assistance during the delivery? (ASK ONLY UP TO 1 YEAR)","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10362",,"436","352","At birth, was the baby of usual size?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10363",,"437","353","At birth, was the baby smaller than usual, (weighing under 2.5 kg)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10364",,"438","354","At birth, was the baby very much smaller than usual, (weighing under 1 kg)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10365",,"439","355","At birth, was the baby larger than usual, (weighing over 4.5 kg)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id1036x_check","[no match found]","440","","It is not possible to select 'No usual size at Birth', 'No weighing under 2.5 kg' and 'No weighing over 4.5 kg' together. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10366",,"441","356","What was the weight (in grammes) of the deceased at birth?",,"integer",,,,,
"id10367",,"442","357","How many months long was the pregnancy before the child was born?","how many months long was the pregnancy before the child was born? (ASK ONLY UP TO 1 YEAR)","integer",,,,,
"id10368",,"443","358","Were there any complications in the late part of the pregnancy (defined as the last 3 months, before labour)?","were there any complications in the late part of the pregnancy (defined as the last 3 months, before labour)? (ASK ONLY UP TO 1 YEAR)","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10369",,"444","359","Were there any complications during labour or delivery?","were there any complications during labour or delivery? (ASK ONLY UP TO 1 YEAR)","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10370",,"445","360","Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10371",,"446","361","Did the baby/ child have a swelling or defect on the back at time of birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10372",,"447","362","Did the baby/ child have a very large head at time of birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10373",,"448","363","Did the baby/ child have a very small head at time of birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10394",,"449","381","How many births, including stillbirths, did the baby's mother have before this baby?",,"integer",,,,,
"neonatal_childb",,"450","364","Neonatal child questions part B",,"begin group",,,,,
"id10376",,"451","365","Was the baby moving in the last few days before the birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10377",,"452","366","Did the baby stop moving in the womb before labour started?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"babmove",,"453","367","Baby moving",,"begin group",,,,,
"id10379_unit","[no match found]","454","","How long before labour did you/the mother last feel the baby move?","[no match found]","select_one H_D_DK_REF","[no match found]","h_d_dk_ref","[no match found]","hours; days; doesn't know; refused to answer","[no match found]"
"id10379",,"455","368","Enter how long before labour did you/the mother last felt the baby move in days: (maybe the respondent or health worker had examined the mother)","HOW MANY DAYS before labour did YOU or the mother last FEEL the baby MOVE? (maybe the respondent or health worker had examined the mother)","integer",,,,,
"id10380",,"456","369","Enter how long before labour did you/the mother last felt the baby move in hours: (maybe the respondent or health worker had examined the mother)","HOW MANY HOURS before labour did YOU or the mother last FEEL the baby MOVE? (maybe the respondent or health worker had examined the mother)","integer",,,,,
"id10382",,"457","370","How many hours did labour and delivery take?",,"integer",,,,,
"id10383",,"458","371","Was the baby born 24 hours or more after the water broke?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10384",,"459","372","Was the liquor foul smelling?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10385",,"460","373","What was the colour of the liquor when the water broke?",,"select_one select_520",,"select_520","select_ONE SELECT_520","green or brown; clear (normal); other; doesn't know; refused to answer","[empty cell]"
"mother_deliv",,"461","374","How was the baby delivered?",,"begin group",,,,,
"id10387",,"462","375","Was the delivery normal vaginal, without forceps or vacuum?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10388",,"463","376","Was the delivery vaginal, with forceps or vacuum?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10389",,"464","377","Was the delivery a Caesarean section?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10389_check","[no match found]","465","","It is not possible to select 'No' to all three previous questions. Please go back and review the answers.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10391",,"466","378","Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10392",,"467","379","How many doses?",,"integer",,,,,
"id10393",,"468","380","Did you/the mother receive tetanus toxoid (TT) vaccine?","did THE mother receive tetanus toxoid (tt) vaccine?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10395",,"469","382","During labour, did the baby's mother suffer from fever?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10396",,"470","383","During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from high blood pressure?","during the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from high blood pressure?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10397",,"471","384","Did you/the baby's mother have diabetes mellitus?","did THE baby's mother have diabetes mellitus?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10398",,"472","385","Did you/the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?","did THE baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10399",,"473","386","During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from convulsions?","during the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from convulsions?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10400",,"474","387","During the last 3 months of pregnancy did you/the baby's mother suffer from blurred vision?","during the last 3 months of pregnancy did the baby's mother suffer from blurred vision?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10401",,"475","388","Did you/the baby's mother have severe anemia?","did THE baby's mother have severe anemia?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10402",,"476","389","Did you/the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?","did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10403",,"477","390","Did the baby's bottom, feet, arm or hand come out of the vagina before its head?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10404",,"478","391","Was the umbilical cord wrapped more than once around the neck of the child at birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10405",,"479","392","Was the umbilical cord delivered first?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10406",,"480","393","Was the baby blue in colour at birth?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"risk_factors",,"481","394","Risk factors",,"begin group",,,,,
"id10411",,"482","395","Did (s)he drink alcohol?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10412",,"483","396","Did (s)he use tobacco?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10413",,"484","397","Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10414",,"485","398","What kind of tobacco did (s)he use ?",,"select_one select_306",,"select_306","select_ONE SELECT_306","cigarettes; pipe; chewing tobacco; local form of tobacco; other","[empty cell]"
